Label	Text
true	Este producto es excelente, me encantó su calidad
true	La atención fue rápida y el producto cumplió mis expectativas
false	No recomiendo este producto, llegó roto
false	Tardó mucho en llegar y no funciona
true	Muy buena experiencia, volvería a comprar
false	Es un engaño, no coincide con la descripción
true	Funciona perfectamente, justo lo que necesitaba
false	Mal servicio al cliente y mala calidad
true	La mejor compra que he hecho este año
false	Nunca más compraré aquí
true	Me encantó la experiencia de compra, todo perfecto
true	El producto llegó antes de lo esperado y funciona muy bien
true	Excelente atención al cliente, resolvieron todas mis dudas
true	Muy satisfecho con mi compra, lo recomiendo
true	La calidad es superior a lo que esperaba
false	El producto llegó dañado y no funciona
false	No recibí lo que pedí, muy mala experiencia
false	El envío fue muy lento y el empaque estaba roto
false	No volvería a comprar aquí, pésimo servicio
false	La descripción no coincide con el producto recibido
true	Rápido, fácil y seguro. Muy buena tienda
false	No me gustó para nada, mala calidad
true	Todo salió bien, repetiría la compra
false	El soporte nunca respondió a mis mensajes
true	Muy buena relación calidad-precio
false	El producto se rompió al primer uso
true	La entrega fue puntual y el empaque impecable
false	No cumple con lo prometido en la publicación
true	Superó mis expectativas, excelente compra
false	No lo recomiendo, perdí mi dinero
true	Fue una compra demasiado buena
false	No me gustó la experiencia, esperaba más
